id,mass (g),reclat,reclong
24213,7868.0,-23.26667,116.93333
24221,93000.0,-30.5,131.55
24222,83.8,-30.71667,131.51667
52942,2.6,-30.48333,131.55
52650,1.3,-30.48333,131.55
52651,1.6,-30.5,131.7
52652,53.0,-30.5,131.7
52943,19.5,-30.48333,131.68333
52653,1.5,-30.5,131.68333
52654,1.0,-30.5,131.68333
52655,19.3,-30.5,131.71667
52656,4.1,-30.51667,131.5
52944,103.1,-30.56667,131.5
56644,47.1,-30.575,131.50164
24228,410.5,-31.69167,127.78333
24229,210.0,-36.43333,143.63333
24230,94200.0,-32.26667,139.86667
24245,170.6,-30.75,127.98333
24247,627.7,-30.05,128.93333
24255,271.0,-25.31583,142.44467
24261,94.0,-26.45,131.0
24265,500000.0,-28.23333,120.85
24272,4030.0,-30.1,143.2
24277,11700.0,-38.10306,146.18111
55552,30000.0,-28.09697,118.45561
24284,200.0,-26.05,128.95
24319,3637.0,-30.0,138.0
24326,760000.0,-19.3,127.76667
24329,37800.0,-24.91667,120.06667
24335,71000.0,-25.65,114.21667
24343,40000.0,-28.95,148.13333
24354,850.0,-28.38333,116.71667
30347,5800.0,-29.75,141.03333
30351,3290.0,-32.45,135.55
48950,5750.0,-32.08287,135.64985
30353,913.0,-30.31667,131.46667
30354,500.0,-30.36417,131.3745
30355,14.0,-30.28,131.35833
52945,4.6,-30.5,131.46667
30356,1500.0,-29.45,121.21667
30357,9600.0,-35.98333,145.58333
30359,262.5,-32.03333,126.175
30361,132000.0,-14.25,132.01667
30362,40000.0,-31.19167,121.53333
30373,118400.0,-29.5,118.75
30374,3800000.0,-32.1,117.71667
